quarter,level_1,value
2010-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),-
2011-Q1,General Business Expectations (Forecast For Next 6 Months),12
2011-Q1,Numbers Employed (Forecast For Next Quarter),11
2011-Q1,Overtime (Forecast For Next Quarter),7
2011-Q1,Output (Forecast For Next Quarter),10
2011-Q1,Total New Orders Received (Forecast For Next Quarter),17
2011-Q1,Domestic Orders (Forecast For Next Quarter),1
2011-Q1,Export Orders (Forecast For Next Quarter),16
2011-Q1,Deliveries In Singapore (Forecast For Next Quarter),3
2011-Q1,Deliveries Overseas (Forecast For Next Quarter),15
2011-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),-6
2011-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),-1
2011-Q1,Average Selling Prices (Forecast For Next Quarter),-12
2011-Q1,Investment On Buildings (Forecast - Next 12 Months),5
2011-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),17
2011-Q2,General Business Expectations (Forecast For Next 6 Months),12
2011-Q2,Numbers Employed (Forecast For Next Quarter),10
2011-Q2,Overtime (Forecast For Next Quarter),-2
2011-Q2,Output (Forecast For Next Quarter),14
2011-Q2,Total New Orders Received (Forecast For Next Quarter),11
2011-Q2,Domestic Orders (Forecast For Next Quarter),3
2011-Q2,Export Orders (Forecast For Next Quarter),12
2011-Q2,Deliveries In Singapore (Forecast For Next Quarter),3
2011-Q2,Deliveries Overseas (Forecast For Next Quarter),8
2011-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),1
2011-Q2,Average Selling Prices (Forecast For Next Quarter),-8
2011-Q2,Investment On Buildings (Forecast - Next 12 Months),-
2011-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),-
2011-Q3,General Business Expectations (Forecast For Next 6 Months),-10
2011-Q3,Numbers Employed (Forecast For Next Quarter),-2
2011-Q3,Overtime (Forecast For Next Quarter),-10
2011-Q3,Output (Forecast For Next Quarter),-16
2011-Q3,Total New Orders Received (Forecast For Next Quarter),-12
2011-Q3,Domestic Orders (Forecast For Next Quarter),-10
2011-Q3,Export Orders (Forecast For Next Quarter),-7
2011-Q3,Deliveries In Singapore (Forecast For Next Quarter),-8
2011-Q3,Deliveries Overseas (Forecast For Next Quarter),-11
2011-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),-5
2011-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),-18
2011-Q3,Average Selling Prices (Forecast For Next Quarter),-13
2011-Q3,Investment On Buildings (Forecast - Next 12 Months),-
2011-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),-
2011-Q4,General Business Expectations (Forecast For Next 6 Months),-11
2011-Q4,Numbers Employed (Forecast For Next Quarter),-2
2011-Q4,Overtime (Forecast For Next Quarter),-4
2011-Q4,Output (Forecast For Next Quarter),-7
2011-Q4,Total New Orders Received (Forecast For Next Quarter),-9
2011-Q4,Domestic Orders (Forecast For Next Quarter),-7
2011-Q4,Export Orders (Forecast For Next Quarter),-10
2011-Q4,Deliveries In Singapore (Forecast For Next Quarter),-8
2011-Q4,Deliveries Overseas (Forecast For Next Quarter),-5
2011-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),1
2011-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),-3
2011-Q4,Average Selling Prices (Forecast For Next Quarter),-14
2011-Q4,Investment On Buildings (Forecast - Next 12 Months),-
2011-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),-
2012-Q1,General Business Expectations (Forecast For Next 6 Months),15
2012-Q1,Numbers Employed (Forecast For Next Quarter),8
2012-Q1,Overtime (Forecast For Next Quarter),6
2012-Q1,Output (Forecast For Next Quarter),22
2012-Q1,Total New Orders Received (Forecast For Next Quarter),12
2012-Q1,Domestic Orders (Forecast For Next Quarter),6
2012-Q1,Export Orders (Forecast For Next Quarter),11
2012-Q1,Deliveries In Singapore (Forecast For Next Quarter),6
2012-Q1,Deliveries Overseas (Forecast For Next Quarter),18
2012-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),7
2012-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),8
2012-Q1,Average Selling Prices (Forecast For Next Quarter),-4
2012-Q1,Investment On Buildings (Forecast - Next 12 Months),13
2012-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),12
2012-Q2,General Business Expectations (Forecast For Next 6 Months),1
2012-Q2,Numbers Employed (Forecast For Next Quarter),4
2012-Q2,Overtime (Forecast For Next Quarter),-1
2012-Q2,Output (Forecast For Next Quarter),6
2012-Q2,Total New Orders Received (Forecast For Next Quarter),6
2012-Q2,Domestic Orders (Forecast For Next Quarter),-1
2012-Q2,Export Orders (Forecast For Next Quarter),4
2012-Q2,Deliveries In Singapore (Forecast For Next Quarter),3
2012-Q2,Deliveries Overseas (Forecast For Next Quarter),6
2012-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),-3
2012-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),1
2012-Q2,Average Selling Prices (Forecast For Next Quarter),-11
2012-Q2,Investment On Buildings (Forecast - Next 12 Months),-
2012-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),-
2012-Q3,General Business Expectations (Forecast For Next 6 Months),-11
2012-Q3,Numbers Employed (Forecast For Next Quarter),0
2012-Q3,Overtime (Forecast For Next Quarter),-16
2012-Q3,Output (Forecast For Next Quarter),-11
2012-Q3,Total New Orders Received (Forecast For Next Quarter),-20
2012-Q3,Domestic Orders (Forecast For Next Quarter),-11
2012-Q3,Export Orders (Forecast For Next Quarter),-19
2012-Q3,Deliveries In Singapore (Forecast For Next Quarter),-6
2012-Q3,Deliveries Overseas (Forecast For Next Quarter),-15
2012-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),-13
2012-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),-12
2012-Q3,Average Selling Prices (Forecast For Next Quarter),-13
2012-Q3,Investment On Buildings (Forecast - Next 12 Months),-
2012-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),-
2012-Q4,General Business Expectations (Forecast For Next 6 Months),-10
2012-Q4,Numbers Employed (Forecast For Next Quarter),1
2012-Q4,Overtime (Forecast For Next Quarter),-12
2012-Q4,Output (Forecast For Next Quarter),-10
2012-Q4,Total New Orders Received (Forecast For Next Quarter),-9
2012-Q4,Domestic Orders (Forecast For Next Quarter),-6
2012-Q4,Export Orders (Forecast For Next Quarter),-11
2012-Q4,Deliveries In Singapore (Forecast For Next Quarter),-6
2012-Q4,Deliveries Overseas (Forecast For Next Quarter),-12
2012-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),-12
2012-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),-9
2012-Q4,Average Selling Prices (Forecast For Next Quarter),-17
2012-Q4,Investment On Buildings (Forecast - Next 12 Months),-
2012-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),-
2013-Q1,General Business Expectations (Forecast For Next 6 Months),12
2013-Q1,Numbers Employed (Forecast For Next Quarter),8
2013-Q1,Overtime (Forecast For Next Quarter),10
2013-Q1,Output (Forecast For Next Quarter),18
2013-Q1,Total New Orders Received (Forecast For Next Quarter),15
2013-Q1,Domestic Orders (Forecast For Next Quarter),2
2013-Q1,Export Orders (Forecast For Next Quarter),14
2013-Q1,Deliveries In Singapore (Forecast For Next Quarter),4
2013-Q1,Deliveries Overseas (Forecast For Next Quarter),18
2013-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),4
2013-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),3
2013-Q1,Average Selling Prices (Forecast For Next Quarter),-14
2013-Q1,Investment On Buildings (Forecast - Next 12 Months),14
2013-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),19
2013-Q2,General Business Expectations (Forecast For Next 6 Months),8
2013-Q2,Numbers Employed (Forecast For Next Quarter),6
2013-Q2,Overtime (Forecast For Next Quarter),-6
2013-Q2,Output (Forecast For Next Quarter),5
2013-Q2,Total New Orders Received (Forecast For Next Quarter),6
2013-Q2,Domestic Orders (Forecast For Next Quarter),3
2013-Q2,Export Orders (Forecast For Next Quarter),3
2013-Q2,Deliveries In Singapore (Forecast For Next Quarter),3
2013-Q2,Deliveries Overseas (Forecast For Next Quarter),1
2013-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),-2
2013-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),-1
2013-Q2,Average Selling Prices (Forecast For Next Quarter),-12
2013-Q2,Investment On Buildings (Forecast - Next 12 Months),-
2013-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),-
2013-Q3,General Business Expectations (Forecast For Next 6 Months),-1
2013-Q3,Numbers Employed (Forecast For Next Quarter),-1
2013-Q3,Overtime (Forecast For Next Quarter),-7
2013-Q3,Output (Forecast For Next Quarter),-6
2013-Q3,Total New Orders Received (Forecast For Next Quarter),-9
2013-Q3,Domestic Orders (Forecast For Next Quarter),-6
2013-Q3,Export Orders (Forecast For Next Quarter),-9
2013-Q3,Deliveries In Singapore (Forecast For Next Quarter),-4
2013-Q3,Deliveries Overseas (Forecast For Next Quarter),-8
2013-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),-8
2013-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),-5
2013-Q3,Average Selling Prices (Forecast For Next Quarter),-12
2013-Q3,Investment On Buildings (Forecast - Next 12 Months),-
2013-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),-
2013-Q4,General Business Expectations (Forecast For Next 6 Months),4
2013-Q4,Numbers Employed (Forecast For Next Quarter),0
2013-Q4,Overtime (Forecast For Next Quarter),4
2013-Q4,Output (Forecast For Next Quarter),9
2013-Q4,Total New Orders Received (Forecast For Next Quarter),7
2013-Q4,Domestic Orders (Forecast For Next Quarter),-3
2013-Q4,Export Orders (Forecast For Next Quarter),9
2013-Q4,Deliveries In Singapore (Forecast For Next Quarter),-4
2013-Q4,Deliveries Overseas (Forecast For Next Quarter),3
2013-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),7
2013-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),3
2013-Q4,Average Selling Prices (Forecast For Next Quarter),-7
2013-Q4,Investment On Buildings (Forecast - Next 12 Months),-
2013-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),-
2014-Q1,General Business Expectations (Forecast For Next 6 Months),7
2014-Q1,Numbers Employed (Forecast For Next Quarter),9
2014-Q1,Overtime (Forecast For Next Quarter),9
2014-Q1,Output (Forecast For Next Quarter),15
2014-Q1,Total New Orders Received (Forecast For Next Quarter),11
2014-Q1,Domestic Orders (Forecast For Next Quarter),2
2014-Q1,Export Orders (Forecast For Next Quarter),11
2014-Q1,Deliveries In Singapore (Forecast For Next Quarter),1
2014-Q1,Deliveries Overseas (Forecast For Next Quarter),18
2014-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),2
2014-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),-2
2014-Q1,Average Selling Prices (Forecast For Next Quarter),-14
2014-Q1,Investment On Buildings (Forecast - Next 12 Months),6
2014-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),3
2014-Q2,General Business Expectations (Forecast For Next 6 Months),6
2014-Q2,Numbers Employed (Forecast For Next Quarter),5
2014-Q2,Overtime (Forecast For Next Quarter),0
2014-Q2,Output (Forecast For Next Quarter),3
2014-Q2,Total New Orders Received (Forecast For Next Quarter),6
2014-Q2,Domestic Orders (Forecast For Next Quarter),2
2014-Q2,Export Orders (Forecast For Next Quarter),3
2014-Q2,Deliveries In Singapore (Forecast For Next Quarter),3
2014-Q2,Deliveries Overseas (Forecast For Next Quarter),0
2014-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),2
2014-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),-2
2014-Q2,Average Selling Prices (Forecast For Next Quarter),-10
2014-Q2,Investment On Buildings (Forecast - Next 12 Months),-
2014-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),-
2014-Q3,General Business Expectations (Forecast For Next 6 Months),1
2014-Q3,Numbers Employed (Forecast For Next Quarter),6
2014-Q3,Overtime (Forecast For Next Quarter),2
2014-Q3,Output (Forecast For Next Quarter),-13
2014-Q3,Total New Orders Received (Forecast For Next Quarter),-8
2014-Q3,Domestic Orders (Forecast For Next Quarter),-5
2014-Q3,Export Orders (Forecast For Next Quarter),-8
2014-Q3,Deliveries In Singapore (Forecast For Next Quarter),-5
2014-Q3,Deliveries Overseas (Forecast For Next Quarter),-11
2014-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),-4
2014-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),-18
2014-Q3,Average Selling Prices (Forecast For Next Quarter),-8
2014-Q3,Investment On Buildings (Forecast - Next 12 Months),-
2014-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),-
2014-Q4,General Business Expectations (Forecast For Next 6 Months),-3
2014-Q4,Numbers Employed (Forecast For Next Quarter),-2
2014-Q4,Overtime (Forecast For Next Quarter),-5
2014-Q4,Output (Forecast For Next Quarter),-7
2014-Q4,Total New Orders Received (Forecast For Next Quarter),-7
2014-Q4,Domestic Orders (Forecast For Next Quarter),-11
2014-Q4,Export Orders (Forecast For Next Quarter),-7
2014-Q4,Deliveries In Singapore (Forecast For Next Quarter),-8
2014-Q4,Deliveries Overseas (Forecast For Next Quarter),-5
2014-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),-17
2014-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),-1
2014-Q4,Average Selling Prices (Forecast For Next Quarter),-15
2014-Q4,Investment On Buildings (Forecast - Next 12 Months),-
2014-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),-
2015-Q1,General Business Expectations (Forecast For Next 6 Months),5
2015-Q1,Numbers Employed (Forecast For Next Quarter),1
2015-Q1,Overtime (Forecast For Next Quarter),-9
2015-Q1,Output (Forecast For Next Quarter),9
2015-Q1,Total New Orders Received (Forecast For Next Quarter),-1
2015-Q1,Domestic Orders (Forecast For Next Quarter),-4
2015-Q1,Export Orders (Forecast For Next Quarter),0
2015-Q1,Deliveries In Singapore (Forecast For Next Quarter),-1
2015-Q1,Deliveries Overseas (Forecast For Next Quarter),5
2015-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),-1
2015-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),-12
2015-Q1,Average Selling Prices (Forecast For Next Quarter),-15
2015-Q1,Investment On Buildings (Forecast - Next 12 Months),13
2015-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),20
2015-Q2,General Business Expectations (Forecast For Next 6 Months),2
2015-Q2,Numbers Employed (Forecast For Next Quarter),4
2015-Q2,Overtime (Forecast For Next Quarter),-12
2015-Q2,Output (Forecast For Next Quarter),4
2015-Q2,Total New Orders Received (Forecast For Next Quarter),-3
2015-Q2,Domestic Orders (Forecast For Next Quarter),-8
2015-Q2,Export Orders (Forecast For Next Quarter),-3
2015-Q2,Deliveries In Singapore (Forecast For Next Quarter),-5
2015-Q2,Deliveries Overseas (Forecast For Next Quarter),1
2015-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),-7
2015-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),-2
2015-Q2,Average Selling Prices (Forecast For Next Quarter),-17
2015-Q2,Investment On Buildings (Forecast - Next 12 Months),-
2015-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),-
2015-Q3,General Business Expectations (Forecast For Next 6 Months),-16
2015-Q3,Numbers Employed (Forecast For Next Quarter),-6
2015-Q3,Overtime (Forecast For Next Quarter),-19
2015-Q3,Output (Forecast For Next Quarter),-11
2015-Q3,Total New Orders Received (Forecast For Next Quarter),-26
2015-Q3,Domestic Orders (Forecast For Next Quarter),-17
2015-Q3,Export Orders (Forecast For Next Quarter),-24
2015-Q3,Deliveries In Singapore (Forecast For Next Quarter),-18
2015-Q3,Deliveries Overseas (Forecast For Next Quarter),-7
2015-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),-21
2015-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),-9
2015-Q3,Average Selling Prices (Forecast For Next Quarter),-27
2015-Q3,Investment On Buildings (Forecast - Next 12 Months),-
2015-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),-
2015-Q4,General Business Expectations (Forecast For Next 6 Months),-22
2015-Q4,Numbers Employed (Forecast For Next Quarter),-6
2015-Q4,Overtime (Forecast For Next Quarter),-23
2015-Q4,Output (Forecast For Next Quarter),-31
2015-Q4,Total New Orders Received (Forecast For Next Quarter),-30
2015-Q4,Domestic Orders (Forecast For Next Quarter),-13
2015-Q4,Export Orders (Forecast For Next Quarter),-26
2015-Q4,Deliveries In Singapore (Forecast For Next Quarter),-13
2015-Q4,Deliveries Overseas (Forecast For Next Quarter),-27
2015-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),-11
2015-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),-8
2015-Q4,Average Selling Prices (Forecast For Next Quarter),-25
2015-Q4,Investment On Buildings (Forecast - Next 12 Months),-
2015-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),-
2016-Q1,General Business Expectations (Forecast For Next 6 Months),1
2016-Q1,Numbers Employed (Forecast For Next Quarter),-12
2016-Q1,Overtime (Forecast For Next Quarter),-12
2016-Q1,Output (Forecast For Next Quarter),3
2016-Q1,Total New Orders Received (Forecast For Next Quarter),2
2016-Q1,Domestic Orders (Forecast For Next Quarter),-5
2016-Q1,Export Orders (Forecast For Next Quarter),4
2016-Q1,Deliveries In Singapore (Forecast For Next Quarter),-4
2016-Q1,Deliveries Overseas (Forecast For Next Quarter),3
2016-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),-11
2016-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),-8
2016-Q1,Average Selling Prices (Forecast For Next Quarter),-21
2016-Q1,Investment On Buildings (Forecast - Next 12 Months),-6
2016-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),17
2016-Q2,General Business Expectations (Forecast For Next 6 Months),-1
2016-Q2,Numbers Employed (Forecast For Next Quarter),-12
2016-Q2,Overtime (Forecast For Next Quarter),-20
2016-Q2,Output (Forecast For Next Quarter),-9
2016-Q2,Total New Orders Received (Forecast For Next Quarter),-13
2016-Q2,Domestic Orders (Forecast For Next Quarter),-10
2016-Q2,Export Orders (Forecast For Next Quarter),-9
2016-Q2,Deliveries In Singapore (Forecast For Next Quarter),-10
2016-Q2,Deliveries Overseas (Forecast For Next Quarter),-7
2016-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),-4
2016-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),-6
2016-Q2,Average Selling Prices (Forecast For Next Quarter),-21
2016-Q2,Investment On Buildings (Forecast - Next 12 Months),-
2016-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),-
2016-Q3,General Business Expectations (Forecast For Next 6 Months),4
2016-Q3,Numbers Employed (Forecast For Next Quarter),-9
2016-Q3,Overtime (Forecast For Next Quarter),-8
2016-Q3,Output (Forecast For Next Quarter),7
2016-Q3,Total New Orders Received (Forecast For Next Quarter),12
2016-Q3,Domestic Orders (Forecast For Next Quarter),-4
2016-Q3,Export Orders (Forecast For Next Quarter),12
2016-Q3,Deliveries In Singapore (Forecast For Next Quarter),-1
2016-Q3,Deliveries Overseas (Forecast For Next Quarter),12
2016-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),-5
2016-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),-4
2016-Q3,Average Selling Prices (Forecast For Next Quarter),-8
2016-Q3,Investment On Buildings (Forecast - Next 12 Months),-
2016-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),-
2016-Q4,General Business Expectations (Forecast For Next 6 Months),2
2016-Q4,Numbers Employed (Forecast For Next Quarter),-16
2016-Q4,Overtime (Forecast For Next Quarter),-4
2016-Q4,Output (Forecast For Next Quarter),-4
2016-Q4,Total New Orders Received (Forecast For Next Quarter),-3
2016-Q4,Domestic Orders (Forecast For Next Quarter),-4
2016-Q4,Export Orders (Forecast For Next Quarter),-1
2016-Q4,Deliveries In Singapore (Forecast For Next Quarter),-11
2016-Q4,Deliveries Overseas (Forecast For Next Quarter),0
2016-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),-16
2016-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),-17
2016-Q4,Average Selling Prices (Forecast For Next Quarter),-4
2016-Q4,Investment On Buildings (Forecast - Next 12 Months),-
2016-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),-
2017-Q1,General Business Expectations (Forecast For Next 6 Months),7
2017-Q1,Numbers Employed (Forecast For Next Quarter),-5
2017-Q1,Overtime (Forecast For Next Quarter),-2
2017-Q1,Output (Forecast For Next Quarter),16
2017-Q1,Total New Orders Received (Forecast For Next Quarter),15
2017-Q1,Domestic Orders (Forecast For Next Quarter),-3
2017-Q1,Export Orders (Forecast For Next Quarter),17
2017-Q1,Deliveries In Singapore (Forecast For Next Quarter),0
2017-Q1,Deliveries Overseas (Forecast For Next Quarter),23
2017-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),2
2017-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),6
2017-Q1,Average Selling Prices (Forecast For Next Quarter),-12
2017-Q1,Investment On Buildings (Forecast - Next 12 Months),8
2017-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),11
2017-Q2,General Business Expectations (Forecast For Next 6 Months),4
2017-Q2,Numbers Employed (Forecast For Next Quarter),-5
2017-Q2,Overtime (Forecast For Next Quarter),-3
2017-Q2,Output (Forecast For Next Quarter),9
2017-Q2,Total New Orders Received (Forecast For Next Quarter),11
2017-Q2,Domestic Orders (Forecast For Next Quarter),6
2017-Q2,Export Orders (Forecast For Next Quarter),13
2017-Q2,Deliveries In Singapore (Forecast For Next Quarter),6
2017-Q2,Deliveries Overseas (Forecast For Next Quarter),11
2017-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),-3
2017-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),-1
2017-Q2,Average Selling Prices (Forecast For Next Quarter),-13
2017-Q2,Investment On Buildings (Forecast - Next 12 Months),-
2017-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),-
2017-Q3,General Business Expectations (Forecast For Next 6 Months),5
2017-Q3,Numbers Employed (Forecast For Next Quarter),-11
2017-Q3,Overtime (Forecast For Next Quarter),-14
2017-Q3,Output (Forecast For Next Quarter),6
2017-Q3,Total New Orders Received (Forecast For Next Quarter),4
2017-Q3,Domestic Orders (Forecast For Next Quarter),-1
2017-Q3,Export Orders (Forecast For Next Quarter),6
2017-Q3,Deliveries In Singapore (Forecast For Next Quarter),-1
2017-Q3,Deliveries Overseas (Forecast For Next Quarter),5
2017-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),-12
2017-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),-3
2017-Q3,Average Selling Prices (Forecast For Next Quarter),-12
2017-Q3,Investment On Buildings (Forecast - Next 12 Months),-
2017-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),-
2017-Q4,General Business Expectations (Forecast For Next 6 Months),1
2017-Q4,Numbers Employed (Forecast For Next Quarter),-3
2017-Q4,Overtime (Forecast For Next Quarter),-12
2017-Q4,Output (Forecast For Next Quarter),10
2017-Q4,Total New Orders Received (Forecast For Next Quarter),1
2017-Q4,Domestic Orders (Forecast For Next Quarter),-2
2017-Q4,Export Orders (Forecast For Next Quarter),3
2017-Q4,Deliveries In Singapore (Forecast For Next Quarter),-5
2017-Q4,Deliveries Overseas (Forecast For Next Quarter),1
2017-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),-12
2017-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),5
2017-Q4,Average Selling Prices (Forecast For Next Quarter),-6
2017-Q4,Investment On Buildings (Forecast - Next 12 Months),-
2017-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),-
2018-Q1,General Business Expectations (Forecast For Next 6 Months),13
2018-Q1,Numbers Employed (Forecast For Next Quarter),-4
2018-Q1,Overtime (Forecast For Next Quarter),4
2018-Q1,Output (Forecast For Next Quarter),24
2018-Q1,Total New Orders Received (Forecast For Next Quarter),23
2018-Q1,Domestic Orders (Forecast For Next Quarter),5
2018-Q1,Export Orders (Forecast For Next Quarter),23
2018-Q1,Deliveries In Singapore (Forecast For Next Quarter),5
2018-Q1,Deliveries Overseas (Forecast For Next Quarter),23
2018-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),10
2018-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),10
2018-Q1,Average Selling Prices (Forecast For Next Quarter),-7
2018-Q1,Investment On Buildings (Forecast - Next 12 Months),8
2018-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),11
2018-Q2,General Business Expectations (Forecast For Next 6 Months),7
2018-Q2,Numbers Employed (Forecast For Next Quarter),-2
2018-Q2,Overtime (Forecast For Next Quarter),9
2018-Q2,Output (Forecast For Next Quarter),5
2018-Q2,Total New Orders Received (Forecast For Next Quarter),6
2018-Q2,Domestic Orders (Forecast For Next Quarter),-2
2018-Q2,Export Orders (Forecast For Next Quarter),6
2018-Q2,Deliveries In Singapore (Forecast For Next Quarter),-3
2018-Q2,Deliveries Overseas (Forecast For Next Quarter),5
2018-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),3
2018-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),-4
2018-Q2,Average Selling Prices (Forecast For Next Quarter),-9
2018-Q2,Investment On Buildings (Forecast - Next 12 Months),-
2018-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),-
2018-Q3,General Business Expectations (Forecast For Next 6 Months),-1
2018-Q3,Numbers Employed (Forecast For Next Quarter),-1
2018-Q3,Overtime (Forecast For Next Quarter),-4
2018-Q3,Output (Forecast For Next Quarter),2
2018-Q3,Total New Orders Received (Forecast For Next Quarter),7
2018-Q3,Domestic Orders (Forecast For Next Quarter),0
2018-Q3,Export Orders (Forecast For Next Quarter),6
2018-Q3,Deliveries In Singapore (Forecast For Next Quarter),-5
2018-Q3,Deliveries Overseas (Forecast For Next Quarter),2
2018-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),1
2018-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),-6
2018-Q3,Average Selling Prices (Forecast For Next Quarter),-10
2018-Q3,Investment On Buildings (Forecast - Next 12 Months),-
2018-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),-
2018-Q4,General Business Expectations (Forecast For Next 6 Months),-14
2018-Q4,Numbers Employed (Forecast For Next Quarter),-2
2018-Q4,Overtime (Forecast For Next Quarter),1
2018-Q4,Output (Forecast For Next Quarter),-2
2018-Q4,Total New Orders Received (Forecast For Next Quarter),-2
2018-Q4,Domestic Orders (Forecast For Next Quarter),-4
2018-Q4,Export Orders (Forecast For Next Quarter),-2
2018-Q4,Deliveries In Singapore (Forecast For Next Quarter),-7
2018-Q4,Deliveries Overseas (Forecast For Next Quarter),-2
2018-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),-3
2018-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),4
2018-Q4,Average Selling Prices (Forecast For Next Quarter),-17
2018-Q4,Investment On Buildings (Forecast - Next 12 Months),-
2018-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),-
2019-Q1,General Business Expectations (Forecast For Next 6 Months),1
2019-Q1,Numbers Employed (Forecast For Next Quarter),0
2019-Q1,Overtime (Forecast For Next Quarter),0
2019-Q1,Output (Forecast For Next Quarter),1
2019-Q1,Total New Orders Received (Forecast For Next Quarter),-2
2019-Q1,Domestic Orders (Forecast For Next Quarter),1
2019-Q1,Export Orders (Forecast For Next Quarter),-2
2019-Q1,Deliveries In Singapore (Forecast For Next Quarter),0
2019-Q1,Deliveries Overseas (Forecast For Next Quarter),9
2019-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),2
